deprivation,covid,logspend,spend
53.462,0,2.0422667111267416,7.71
53.462,0,2.4251326900669437,11.3
53.462,0,2.1750616141070243,8.8
53.462,0,2.1099436081992993,8.25
53.462,0,2.164250699545918,8.71
53.462,0,2.3193101493800543,10.17
53.462,0,2.729758560020737,15.33
53.462,0,2.5041395713555814,12.23
53.462,0,2.1362020269783293,8.47
53.462,0,1.9842905703256888,7.27
53.462,0,2.1667584435623524,8.73
53.462,0,2.136409021967375,8.47
53.462,0,2.2934459576854502,9.91
53.462,0,1.8457158139641023,6.33
53.462,0,2.2813417353628456,9.79
53.462,0,2.431203612799493,11.37
53.462,0,1.8068576215927923,6.09
53.462,0,1.9732306404872142,7.19
53.462,0,2.3732090097131646,10.73
53.462,0,2.119673023140034,8.33
53.462,0,2.0802441986285296,8.01
53.462,0,2.0557872722373887,7.81
53.462,0,2.1409108300367854,8.51
53.462,0,2.3615142953143424,10.61
53.462,0,2.619817818353981,13.73
53.462,0,2.2055098059230565,9.07
53.462,0,2.3354747547426205,10.33
53.462,0,2.0765741249399357,7.98
53.462,0,2.0236046831591774,7.57
53.462,0,2.179183923093236,8.84
53.462,0,2.2974029324500274,9.95
53.462,0,2.351218243860573,10.5
53.462,0,2.3271537867169445,10.25
53.462,0,2.243015239817627,9.42
53.462,0,2.0898818329594846,8.08
53.462,0,2.2369628252964175,9.36
53.462,0,2.44927230670304,11.58
53.462,0,1.9818201225242869,7.26
53.462,0,1.8307539167342792,6.24
53.462,0,2.1166544019672986,8.3
53.462,0,2.2853107265615216,9.83
53.462,0,2.398147185472017,11
53.462,0,2.284342543306043,9.82
53.462,0,2.3738278967571445,10.74
53.462,0,2.1592297032191463,8.66
53.462,0,2.2918212233146944,9.89
53.462,0,2.2807206009680123,9.78
53.462,0,1.8212206291616115,6.18
53.462,0,2.3522622723475277,10.51
53.462,0,2.097978083762973,8.15
53.462,0,1.9582743154195164,7.09
53.462,0,2.2585966963396182,9.57
53.462,0,2.142108004302217,8.52
